Eng,Beng
Don't ask.,জিজ্ঞাসা করিস না।
Don't cry.,কেঁদো না।
Go inside.,ভেতরে যান।
Go inside.,ভেতরে যাও।
How weird!,কি অদ্ভুত!
I am cold.,আমার শীত করছে।
I am okay.,আমি ঠিক আছি।
I am sick.,আমি অসুস্থ।
I am well.,আমি ভালো আছি।
I can run.,আমি দৌড়াতে পারি।
I can ski.,আমি স্কী করতে পারি।
I fainted.,আমি অজ্ঞান হয়ে গেলাম।
I fainted.,আমি অজ্ঞান হয়ে গিয়েছিলাম।
I hit Tom.,আমি টমকে মারলাম।
I saw him.,আমি তাকে দখতে পেলাম।
I saw him.,আমি ওনাকে দখতে পেলাম।
I want it.,আমার এটা চাই।
I will go.,আমি যাবো।
I'll cook.,আমি রান্না করবো।
I'll sing.,আমি গাবো।
I'll talk.,আমি কথা বলব।
I'll wait.,আমি অপেক্ষা করবো।
I'll walk.,আমি হাটবো।
I'm awake.,আমি জেগে আছি।
I'm broke.,আমি দেউলিয়া হয়ে গেছি।
I'm clean.,আমি পরিষ্কার।
I'm ready.,আমি তৈরি।
I'm right.,আমিই ঠিক।
I'm right.,আমি ঠিক।
I'm sorry.,ক্ষমা করবেন।
I'm tired.,আমি ক্লান্ত।
I'm yours.,আমি তোমার।
I'm yours.,আমি আপনার।
I'm yours.,আমি তোর।
It's 7:45.,এখন ৭:৪৫।
It's late.,দেরী হয়ে গেছে।
It's mine.,এটা আমার।
It's ours.,এটা আমাদের।
Leave Tom.,টমকে ছাড়ো।
Leave Tom.,টমকে ছাড়ুন।
Leave Tom.,টমের কথা ছাড়ো।
Leave Tom.,টমের কথা ছাড়ুন।
Let me go!,আমাকে যেতে দাও!
Let me in.,আমাকে ঢুকতে দিন।
Let me in.,আমাকে ঢুকতে দাও।
Let us in.,আমাদের ঢুকতে দিন।
Let's ask.,জিজ্ঞাসা করা যাক।
May I eat?,আমি কি খেতে পারি?
Of course!,নিশ্চই!
Of course!,অবশ্যই!
Of course.,নিশ্চই।
Of course.,অবশ্যই।
Of course.,নিশ্চয়ই।
Pardon me?,কী বললেন?
Pardon me?,কী বললে?
See above.,উপরে দেখুন।
See below.,নীচে দেখুন।
She walks.,উনি হাঁটেন।
She walks.,সে হাঁটে।
She walks.,ও হাঁটে।
She walks.,তিনি হাঁটেন।
Sign here.,এখানে সই করুন।
Sit there.,ওখানে বসুন।
Sit there.,ওখানে বসো।
Sit there.,ওখানে বস।
Sit there.,সেখানে বসুন।
Sit there.,সেখানে বসো।
Sit there.,সেখানে বস।
Slow down.,আস্তে চালান।
Start now.,এখন শুরু করেন।
Start now.,এখন শুরু করো।
Start now.,এখন শুরু কর।
Stay here.,এখানে দাঁড়ান।
Stay here.,এখানে দাঁড়াও।
Stop here.,এখানে থামেন।
Stop here.,এখানে থামো।
Stop here.,এখানে থাম।
Take care!,নিজের যত্ন নিও!
Then what?,তাহলে?
Then what?,তাহলে আবার কী?
Tom cried.,টম কাঁদলো।
Tom drove.,টম চালালো।
Tom knows.,টম জানে।
Tom tried.,টম চেষ্টা করলো।
Tom tries.,টম চেষ্টা করে।
Tom voted.,টম ভোট দিলো।
Tom walks.,টম হাঁটে।
Tom's shy.,টম লাজুক।
Trust Tom.,টমকে বিশ্বাস করুন।
Trust Tom.,টমকে বিশ্বাস করো।
Try again.,আবার চেষ্টা করুন।
Try again.,আবার চেষ্টা করো।
Turn left.,বাঁদিকে ঘুরুন।
Turn left.,বাঁদিকে ঘোরো।
Wait here.,এখানে অপেক্ষা করুন।
Wait here.,এখানে অপেক্ষা করো।
Watch Tom.,টমের উপর নজর রাখো।
Watch Tom.,টমের উপর নজর রাখুন।
Watch out!,দেখে!
Watch out!,সাবধানে!
We failed.,আমরা অসফল হলাম।
We forgot.,আমরা ভুলে গেলাম।
We saw it.,আমরা দেখেছি।
We'll try.,আমরা চেষ্টা করব।
We'll win.,আমরাই জিতব।
We'll win.,আমরা জিতবই।
We're shy.,আমরা লাজুক।
What's up?,কি খবর?
Who cares?,কার কী এসে যায়?
Who is he?,উনি কে?
Who is he?,ও কে?
Who is he?,সে কে?
Who is he?,তিনি কে?
Who is it?,কে?
Who's she?,উনি কে?
Who's she?,ও কে?
Who's she?,সে কে?
Who's she?,তিনি কে?
Wonderful!,দারুন!
You drive.,আপনিই চালান।
You drive.,তুমি চালাও।
Be careful.,সাবধানে।
Birds sing.,পাখি গান গায়।
Bring food.,খাবার আনো।
Bring food.,খাবার আনেন।
Come again.,আবার আসবেন।
Come again.,আবার এসো।
Come quick!,জলদি আসেন!
Come quick!,জলদি আসো!
Come quick!,জলদি আসিস!
Definitely!,নিশ্চই!
Definitely!,একদম!
Don't come.,এসো না।
Don't come.,আসবেন না।
Don't come.,আসিস না।
Don't jump!,লাফাও না!
Don't jump!,লাফান না!
Don't jump!,লাফাস না!
Don't look.,দেখো না!
Don't look.,দেখেন না!
Don't look.,দেখিস না!
Don't move!,সরো না!
Don't move!,সরেন না!
Don't move!,সরিস না!
Don't sing.,গাও না।
Don't sing.,গাস না।
Don't sing.,গান না।
Don't stop.,থামো না।
Don't stop.,থামেন না।
Don't stop.,থামিস না।
Don't talk!,কথা বলবেন না!
Don't talk!,কথা বলিস না!
Don't talk!,কথা বোল না!
Don't talk.,কথা বোল না।
Don't talk.,কথা বলিস না।
Don't talk.,কথা বলবেন না।
Don't wait.,অপেক্ষা করবেন না।
Don't wait.,অপেক্ষা করবে না।
Don't wait.,অপেক্ষা করবি না।
Don't yell.,চিৎকার করবেন না!
Don't yell.,চিৎকার কোরো না!
Don't yell.,চিৎকার করিস না!
Fill it up.,ভর্তি করে দিন।
Follow Tom.,টমকে অনুসরণ করো।
Follow Tom.,টমকে অনুসরণ করুন।
Follow Tom.,টমের পেছন পেছন যান।
Follow Tom.,টমের পেছন পেছন যাও।
Follow Tom.,টমের পিছু নিন।
Follow Tom.,টমের পিছু নাও।
Forget Tom.,টমকে ভুলে যাও।
Forget Tom.,টমকে ভুলে যান।
Forget him.,ওকে ছাড়ুন।
Forget him.,ওনাকে ছাড়ুন।
Forget him.,ওকে ছাড়ো।
Forget him.,ওনাকে ছাড়ো।
Forget him.,তাকে ছাড়ো।
Forget him.,তাকে ছাড়ুন।
God exists.,ভগবান আছে।
Good night.,শুভ রাত্রি।
He is nice.,উনি বেশ।
I am ready.,আমি তৈরি।
I can read.,আমি পড়তে পারি।
I can swim.,আমি সাঁতার কাটতে পারি।
I eat here.,আমি এখানে খাই।
I eat meat.,আমি মাংস খাই।
I got sick.,আমি অসুস্থ হয়ে পরেছিলাম।
I hate you.,আমি আপনাকে ঘৃণা করি।
I have one.,আমার একটা আছে।
I have won.,আমি জিতে গেছি।
I heard it.,আমি শুনেছি।
I just ate.,আমি এই সবে খেলাম।
I just ate.,আমি এখনই খেলাম।
I like him.,আমি ওনাকে পছন্দ করি।
I like him.,আমি ওকে পছন্দ করি।
I like him.,আমি তাকে পছন্দ করি।
I like him.,আমার ওনাকে ভালো লাগে।
I like him.,আমার তাকে ভালো লাগে।
I like him.,আমার ওকে ভালো লাগে।
I like tea.,আমি চা পছন্দ করি।
I like tea.,আমার চা ভালো লাগে।
I love you.,আমি তোমাকে ভালবাসি।
I love you.,আমি তোমায় ভালোবাসি।
I need ice.,আমার বরফ চাই।
I promised.,আমি প্রতিশ্রুতি দিলাম।
I ran away.,আমি পালিয়ে গেছিলাম।
I ran home.,আমি বাড়ি পালিয়ে গেছিলাম।
I sat down.,আমি বসে পরেছিলাম।
I saw that.,আমি সেটা দেখেছিলাম।
I saw that.,আমি ওটা দেখেছিলাম।
I saw them.,আমি তাদের দেখতে পেলাম।
I saw them.,আমি ওদের দেখতে পেলাম।
I saw them.,আমি তাঁদের দেখতে পেলাম।
I saw them.,আমি ওনাদের দেখতে পেলাম।
I screamed.,আমি চিৎকার করলাম।
I screamed.,আমি চেঁচালাম।
I was away.,আমি বাইরে ছিলাম।
I was away.,আমি বাইরে গেছিলাম।
I was late.,আমার দেরি হয়ে গেছিল।
I was lost.,আমি হারিয়ে গেছিলাম।
I'll drive.,আমি চালাবো।
I'll stand.,আমি দাঁড়াবো।
I'll start.,আমি শুরু করবো।
I'm coming.,আমি আসছি।
I'm eating.,আমি খাচ্ছি।
I'm for it.,আমি এর পক্ষে।
I'm inside.,আমি ভেতরে আছি।
I'm inside.,আমি ভেতরে।
I'm so mad.,আমি একদম পাগল।
Is it here?,ওটা কি এখানে আছে?
Is that so?,তাই বুঝি?
Keep quiet!,চুপ করো!
Keep quiet!,চুপ কর!
Keep quiet.,চুপ কর।
Keep quiet.,চুপ করো।
Leave town.,শহর ছাড়ো!
Let's chat.,গল্প করা যাক।
Let's talk.,কথা বলা যাক।
Let's walk.,হাঁটা যাক।
Look there.,ওইদিকে দেখুন।
Look there.,ওইদিকে দেখো।
Never mind!,ছাড়!
Never mind!,ছাড়ো!
No problem!,কোনো অসুবিধা নেই!
No problem.,কোনো অসুবিধা নেই।
"Oh, really?","ও, তাই নাকি?"
Once again.,আর একবার।
She smiled.,সে হাঁসলো।
She smiled.,উনি হাঁসলেন।
She smiled.,তিনি হাঁসলেন।
She smiled.,ও হাঁসলো।
Start here.,এখানে শুরু করেন।
Start here.,এখানে শুরু করো।
Start here.,এখানে শুরু কর।
Stay there.,ওখানেই থাকো।
Stay there.,ওখানেই থাকুন।
Step aside.,সরে যান।
Step aside.,সরে যাও।
Stop there.,ওখানেই থামুন।
Stop there.,ওখানেই থামো।
That's Tom.,ওটা টম।
That's Tom.,সেটা টম।
This works.,এটা কাজ করে।
Time is up.,সময় শেষ।
Time is up.,সময় শেষ হয়ে গেছে।
Tom burped.,টম ঢেকুর তুল্লো।
Tom danced.,টম নাচলো।
Tom drives.,টম চালায়।
Tom helped.,টম সাহায্য করলো।
Tom jumped.,টম লাফ দিলো।
Tom nodded.,টম মাথা নাড়লো।
Tom saw it.,টম সেটা দেখলো।
Tom saw it.,টম ওটা দেখলো।
Tom saw it.,টম এটা দেখলো।
Tom sighed.,টম দীর্ঘশ্বাস ছাড়লো।
Tom smiled.,টম হাসলো।
Tom snores.,টম নাক ডাকে।
Tom winked.,টম চোখ মারলো।
Tom yawned.,টম হাই তুললো।
Tom yelled.,টম চিৎকার করলো।
Tom yelled.,টম চেঁচালো।
Tom's dead.,টম মৃত।
Tom's deaf.,টম বধির।
Tom's died.,টম মারা গেছে।
Tom's here.,টম এখানে।
Tom's hurt.,টম আহত হয়েছে।
Tom's hurt.,টম আহত।
Tom's sick.,টম অসুস্থ।
Tom's sick.,টমের শরির খারাপ।
Tom's sick.,টমের অসুখ হয়েছে।
Turn right.,ডানদিকে ঘোরো।
Turn right.,ডানদিকে ঘুরুন।
Watch this.,এটা দেখুন।
Watch this.,এটা দেখো।
We want it.,আমার এটা চাই।
We'll help.,আমরা সাহায্য করব।
We'll sing.,আমরা গান করবো।
We'll wait.,আমরা অপেক্ষা করব।
We'll work.,আমরা কাজ করবো।
We're here.,আমরা এখানে আছি।
We're here.,আমরা এখানে।
We're lost.,আমরা হারিয়ে গেছি।
Who are we?,আমরা কারা?
Who has it?,কার কাছে আছে?
Who is she?,উনি কে?
Who is she?,ও কে?
Who is she?,সে কে?
Who is she?,তিনি কে?
Who was it?,কে ছিলো?
Who's that?,ওটা কে?
You called?,আপনি ডেকেছিলেন?
You called?,তুমি ডেকেছিলে?
You called?,আপনি ফোন করেছিলেন?
You called?,তুমি ফোন করেছিলে?
Are we done?,আমাদের কি হয়ে গেছে?
Are we done?,হয়ে গেছে?
Contact Tom.,টমের সঙ্গে যোগাযোগ করুন।
Contact Tom.,টমের সঙ্গে যোগাযোগ করো।
Cook for me.,আমার জন্য রান্না করুন।
Did Tom eat?,টম কি খেয়েছে?
Do it again!,আবার করুন!
Do it again!,আবার কর!
Don't argue.,তর্ক করবেন না।
Don't argue.,তর্ক কোরো না।
Don't fight.,লড়াই করবেন না।
Don't fight.,ঝগড়া করবেন না।
Don't fight.,ঝগড়া কোরো না।
Don't fight.,লড়াই কোরো না।
Don't shout.,চিৎকার করবেন না!
Don't shout.,চিৎকার কোরো না!
Don't shout.,চিৎকার করিস না!
Don't speak.,কথা বোল না।
Don't speak.,কথা বলিস না।
Don't speak.,কথা বলবেন না।
Don't stand.,দাঁড়াও না।
Don't stand.,দাঁড়াস না।
Don't stand.,দাঁড়ান না।
Forgive Tom.,টমকে ক্ষমা করে দিন।
Forgive Tom.,টমকে ক্ষমা করে দাও।
He can come.,উনি আসতে পারেন।
He can come.,ও আসতে পারে।
He can come.,সে আসতে পারে।
He can come.,তিনি আসতে পারেন।
He can read.,উনি পড়তে পারেন।
He can read.,ও পড়তে পারে।
He can read.,সে পড়তে পারে।
He stood up.,উনি উঠে দাঁড়ালেন।
He stood up.,সে উঠে দাঁড়ালো।
He stood up.,তিনি উঠে দাঁড়ালেন।
He stood up.,ও উঠে দাঁড়ালো।
How are you?,আপনি কেমন আছেন?
How are you?,তুমি কেমন আছো?
How are you?,তুই কেমন আছিস?
I also went.,আমিও গেছিলাম।
I am coming.,আমি আসছি।
I am taller.,আমি বেশি লম্বা।
I apologize.,আমি ক্ষমা চাইছি।
I came back.,আমি ফিরে এলাম।
I can dance.,আমি নাচতে পারি।
I can't say.,আমি ঠিক বলতে পারবো না।
I can't see.,আমি দেখতে পাই না।
I don't cry.,আমি কাঁদি না।
I eat bread.,আমি পাঁউরুটি খাই।
I feel cold.,আমার শীত করছে।
I feel cold.,আমার ঠান্ডা লাগছে।
I feel fine.,আমার ভাল লাগছে।
I feel good.,আমার ভাল লাগছে।
I feel sick.,আমি অসুস্থ বোধ করছি।
I feel weak.,আমি দুর্বল অনুভব করছি।
I feel well.,আমার ভাল লাগছে।
I fell down.,আমি পড়ে গিয়েছিলাম।
I felt that.,আমি ওটা অনুভব করলাম।
I fired Tom.,আমি টমকে বরখাস্ত করেছি।
I had a cat.,আমার একটা বেড়াল ছিলো।
I have time.,আমার সময় আছে।
I know this.,আমি এটা জানি।
I like both.,আমার দুটোই পছন্দ।
I like cake.,আমি কেক পছন্দ করি।
I like cake.,আমার কেক ভালো লাগে।
I like math.,আমার অঙ্ক ভালো লাগে।
I like math.,আমি অঙ্ক পছন্দ করি।
I like rice.,আমি ভাত পছন্দ করি।
I live here.,আমি এখানে বাস করি।
I live here.,আমি এখানে থাকি।
I live here.,আমি এখানে বসবাস করি।
I need help.,আমার সাহায্য দরকার।
I need time.,আমার সময় দরকার।
I trust Tom.,আমি টমকে বিশ্বাস করি।
I trust you.,আমি আপনাকে বিশ্বাস করি।
I trust you.,আমি তোমাকে বিশ্বাস করি।
I want more.,আমার আরো চাই।
I want this.,আমার এটা চাই।
I want this.,এটা আমার প্রয়োজন।
I want time.,আমার সময় চাই।
I was alone.,আমি একা ছিলাম।
I was there.,আমি ওখানে ছিলাম।
I was tired.,আমি ক্লান্ত ছিলাম।
"I went, too.",আমিও গেছিলাম।
I won't lie.,আমি মিথ্যা বলবো না।
I work here.,আমি এখানি কাজ করি।
I'll buy it.,আমি এটা কিনবো।
I'll scream.,আমি চিৎকার করবো।
I'll scream.,আমি চেঁচাবো।
"I'm 17, too.",আমিও ১৭।
I'm a woman.,আমি একজন মহিলা।
I'm dancing.,আমি নাচছি।
I'm healthy.,আমি সুস্থ।
I'm married.,আমি বিবাহিত।
I'm not Tom.,আমি টম নই।
I'm reading.,আমি পড়ছি।
I'm talking.,আমি কথা বলছি।
I'm thirsty.,আমার তেষ্টা পেয়েছে।
Is Tom here?,টম কি এখানে আছে?
Is Tom home?,টম কি বাড়িতে আছে?
Is Tom well?,টম কি ভালো আছে?
Is that all?,অার কিছু?
It can't be!,এটা হতে পারে না!
It can't be!,হতেই পারে না!
It may rain.,বৃষ্টি পরতে পারে।
It may snow.,বরফ পরতে পারে।
Let me help.,আমায় সাহায্য করতে দাও।
Look at Tom.,টমের দিকে তাকান।
Look at Tom.,টমের দিকে তাকাও।
Many thanks.,অনেক ধন্যবাদ।
Say my name.,আমার নাম বলো।
Take my car.,আমার গাড়ি নিয়ে যান।
Talk slowly.,ধীরে কথা বলো।
That's mine.,ওটা আমার।
They yelled.,তারা চিৎকার করলো।
They yelled.,তাঁরা চিৎকার করলেন।
They yelled.,ওরা চিৎকার করলো।
They yelled.,ওনারা চিৎকার করলেন।
They yelled.,ওনারা চেঁচালেন।
They yelled.,ওরা চেঁচালো।
They yelled.,তারা চেঁচালো।
They yelled.,তাঁরা চেঁচালেন।
This is new.,এটা নতুন।
Tom clapped.,টম হাততালি দিলো।
Tom coughed.,টম কাশলো।
Tom frowned.,টম ভ্রূকুটি করলো।
Tom frowned.,টম ভুরু কোঁচকালো।
Tom got mad.,টম রেগে গেছিলো।
Tom inhaled.,টম নিশ্বাস ছাড়লো।
Tom is dead.,টম মৃত।
Tom is here.,টম এখানে।
Tom is hurt.,টম আহত হয়েছে।
Tom is hurt.,টম আহত।
Tom is sick.,টম অসুস্থ।
Tom is sick.,টমের শরির খারাপ।
Tom is sick.,টমের অসুখ হয়েছে।
Tom laughed.,টম হাঁসলো।
Tom left me.,টম আমাকে ছেড়ে চলে গিয়েছিল।
Tom saw her.,টম তাকে দেখলো।
Tom saw her.,টম ওকে দেখলো।
Tom saw her.,টম ওনাকে দেখলো।
Tom saw him.,টম তাকে দেখলো।
Tom saw him.,টম ওকে দেখলো।
Tom saw him.,টম ওনাকে দেখলো।
Tom saw you.,টম আপনাকে দেখলো।
Tom saw you.,টম তোমাকে দেখলো।
Tom saw you.,টম আপনাদের দেখলো।
Tom saw you.,টম তোমাদের দেখলো।
Tom shouted.,টম চিৎকার করলো।
Tom shouted.,টম চেঁচালো।
Tom's alive.,টম বেঁচে আছে।
Tom's alone.,টম একলা আছে।
Tom's right.,টমই ঠিক।
Tom's tired.,টম ক্লান্ত।
Walk slowly.,আস্তে হাঁটুন।
Walk slowly.,আস্তে হাঁটো।
We are here.,আমরা এখানে আছি।
We ate eggs.,আমরা ডিম খেয়েছি।
We'll dance.,আমরা নাচবো।
We're going.,আমরা যাচ্ছি।
We're twins.,আমরা জমজ।
What'd I do?,আমি কি করলাম?
What's that?,ওটা কী?
What's that?,সেটা কী?
What's this?,এটা কী?
Who are you?,আপনি কে?
Who are you?,তুমি কে?
Who are you?,তুই কে?
Whose is it?,এটা কার?
Work slowly.,ধীরে ধীরে কাজ করুন।
You fainted.,আপনি অজ্ঞান হয়ে গেছিলেন।
You fainted.,তুমি অজ্ঞান হয়ে গেছিলে।
Anybody here?,কেউ আছেন?
Anybody home?,বাড়িতে কেউ আছেন?
Are we ready?,আমরা কি তৈরি?
Are you sick?,আপনি কি অসুস্থ?
Are you sick?,তুমি কি অসুস্থ?
Are you sure?,তুমি নিশ্চিত তো?
Are you sure?,আপনি নিশ্চিত তো?
Can you read?,আপনি পড়তে পারেন?
Can you read?,তুমি পড়তে পারো?
Come outside.,বাইরে আসো।
Come outside.,বাইরে আসুন।
Come with me.,আমার সাথে এসো।
Come with me.,আমার সঙ্গে আসুন।
Come with me.,আমার সঙ্গে আস।
Don't scream.,চিৎকার করবেন না!
Don't scream.,চিৎকার কোরো না!
Don't scream.,চিৎকার করিস না!
Drive slowly.,আস্তে গাড়ি চালান।
Drive slowly.,আস্তে গাড়ি চালাও।
Get a doctor.,ডাক্তারের কাছে যাও।
Ghosts exist.,ভুত আছে।
Good evening.,শুভ সন্ধ্যা।
Good morning.,সুপ্রভাত।
Grab my hand.,আমার হাতটা ধরুন।
Grab my hand.,আমার হাতটা ধরো।
He got angry.,সে রেগে গেছিলো।
He got angry.,তিনি রেগে গেছিলেন।
He got angry.,উনি রেগে গেছিলেন।
He got angry.,ইনি রেগে গেছিলেন।
He got angry.,ও রেগে গেছিলো।
He is eating.,উনি খাচ্ছেন।
He is eating.,তিনি খাচ্ছেন।
He is eating.,সে খাচ্ছে।
He is eating.,ও খাচ্ছে।
Hold my hand.,আমার হাতটা ধরুন।
Hold my hand.,আমার হাতটা ধরো।
I am working.,আমি কাজ করতেছি।
I don't care.,আমি পরোয়া করি না।
I don't know.,আমি জানি না।
I drink beer.,আমি বিয়ার খাই।
I have proof.,আমার কাছে প্রমাণ আছে।
I teach here.,আমি এখানে পড়াই।
I understand.,আমি বুঝি।
I was amazed.,আমি অবাক হয়ে গেছিলাম।
I will fight.,আমি লড়বো।
I won't come.,আমি আসবো না।
I won't lose!,আমি হারবো না।
I'll be back.,আমি ফিরে আসবো।
I'll be late.,আমার দেরী হবে।
I'm a doctor.,আমি ডাক্তার।
I'm a doctor.,আমি একজন ডাক্তার।
I'm bleeding.,আমার রক্ত বের হচ্ছে।
I'm poor now.,আমি এখন গরীব।
I'm pregnant.,আমি গর্ভবতী।
I'm speaking.,আমি কথা বলছি।
I'm too busy.,আমি খুব ব্যস্থ আছি।
I've seen it.,আমি এটা দেখেছি।
I've seen it.,আমি ওটা দেখেছি।
Is Tom there?,টম কি ওখানে আছে?
It's a robot.,এটা একটা রোবট।
It's raining.,বৃষ্টি পড়ছে।
It's too low.,খুব নিচু।
It's too low.,এটা খুব নিচু।
Let go of me.,আমাকে ছেড়ে দিন।
Let go of me.,আমাকে ছেড়ে দাও।
Let me speak.,আমাকে বলতে দাও।
Let me speak.,আমাকে কথা বলতে দাও।
Let me speak.,আমাকে বলতে দিন।
Let me speak.,আমাকে কথা বলতে দিন।
Let's review.,পুনর্বিচার করা যাক।
My arm hurts.,আমার হাত ব্যাথা করছে।
My feet hurt.,আমার পা ব্যাথা করছে।
My hip hurts.,আমার কোমর ব্যাথা করছে।
My jaw hurts.,আমার মারি ব্যাথা করছে।
Now fix that.,এবার ওটা ঠিক করো।
Now fix that.,এবার ওটা ঠিক করুন।
Please hurry.,একটু তারাতারি করুন।
Please hurry.,একটু তারাতারি করো।
Someone came.,কেউ একজন এসেছিলেন।
Someone came.,কেউ এসেছিলো।
Stay at home.,বাড়িতেই থাকুন।
Stay at home.,বাড়িতে থাকো।
Step outside.,বাইরে আসো।
Step outside.,বাইরে আসুন।
Stop the car.,গাড়ি থামাও।
Stop yelling.,চিৎকার করা বন্ধ করো।
Stop yelling.,চিৎকার করা বন্ধ করুন।
Stop yelling.,চেঁচানো বন্ধ করুন।
Stop yelling.,চেঁচানো বন্ধ করো।
That is mine.,ওটা আমার।
This is mine.,এটা আমার।
Tom got hurt.,টম ব্যাথা পেয়েছিল।
Tom has died.,টম মারা গেছে।
Tom has time.,টমের হাতে সময় আছে।
Tom is there.,টম ওখানে আছে।
Tom is tired.,টম ক্লান্ত।
Tom knows it.,টম ওটা জানে।
Tom listened.,টম শুনলো।
Tom loves me.,টম আমাকে ভালোবাসে।
Tom saw them.,টম তাদের দেখলো।
Tom saw them.,টম ওদের দেখলো।
Tom saw them.,টম ওনাদের দেখলো।
Tom screamed.,টম চিৎকার করলো।
Tom screamed.,টম চেঁচালো।
Tom wants me.,টমের আমাকে চায়।
Tom'll speak.,টম কথা বলবে।
Tom's coming.,টম আসছে।
Tom's crying.,টম কাঁদছে।
Tom's famous.,টম বিখ্যাত।
Tom's strong.,টম শক্তিশালী।
Unbelievable!,অবিশ্বাস্য!
Wait outside.,বাইরে অপেক্ষা করুন।
Wait outside.,বাইরে অপেক্ষা করো।
Was Tom here?,টম কি এখানে ছিলো?
We apologize.,আমরা ক্ষমা চাইছি।
We are Arabs.,আমরা আরব।
We live here.,আমরা এখানে থাকি।
We sat there.,আমরা ওখানে বসেছিলাম।
We'll scream.,আমরা চিৎকার করবো।
We'll scream.,আমরা চেঁচাবো।
We're at war.,আমরা যুদ্ধে আছি।
We're coming.,আমরা আসছি।
We're hungry.,আমরা ক্ষুধার্ত।
We're inside.,আমরা ভেতরে আছি।
We're inside.,আমরা ভেতরে।
What a nerve!,কী সাহস!
What is that?,সেটা কী?
Who are they?,ওরা কারা?
Who are they?,ওনারা কারা?
Who has come?,কে এসেছে?
Who has come?,কে কে এসেছে?
Who is there?,কে ওখানে?
Who sent you?,আপনাকে কে পাঠিয়েছে?
Who'll drive?,কে চালাবে?
Who's hungry?,কার কার খিদে পেয়েছে?
You are rich.,আপনি বড়লোক।
You are rich.,তুমি বড়লোক।
You are rich.,আপনি ধনী।
You are rich.,তুমি ধনী।
You go first.,আপনি প্রথমে যান।
You go first.,তুমি প্রথমে যাও।
You go first.,আপনি আগে যান।
You go first.,তুমি আগে যাও।
You go first.,তোমরা আগে যাও।
You go first.,তোমরা প্রথমে যাও।
You go first.,আপনারা আগে যান।
You go first.,আপনারা প্রথমে যান।
You may swim.,সাঁতার কাটতে পারেন।
You may swim.,সাঁতার কাটতে পার।
You sit here.,আপনি এখানে বসুন।
You sit here.,তুমি এখানে বসো।
A car hit Tom.,একটা গাড়ী টমকে ধাক্কা মারল।
Any questions?,কোন প্রশ্ন আছে?
Anything else?,আর কিছু?
Are you there?,আপনি কি ওখানে আছেন?
Are you there?,তুমি কি ওখানে আছো?
Call a doctor.,ডাক্তার ডাকো।
Call a doctor.,ডাক্তার ডাকুন।
Did you speak?,আপনি কথা বললেন?
Did you speak?,তুমি কথা বললে?
Do come again.,আবার আসবেন কিন্তু।
Do come again.,আবার আসবে কিন্তু।
Don't call me.,আমাকে ডেকো না।
Don't call me.,আমাকে ডাকবেন না।
Don't come in.,ভেতরে আসবেন না।
Don't come in.,ভেতরে আসবে না।
Don't hurt me.,আমাকে বেথা দিয়ো না।
Don't hurt me.,আমাকে বেথা দেবেন না।
Don't hurt me.,আমাকে বেথা দিস না।
Eat something.,কিছু খান।
Eat something.,কিছু খাও।
Eat something.,কিছু তো খান।
Eat something.,কিছু তো খাও।
Eat something.,কিছু খেয়ে নিন।
Eat something.,কিছু খেয়ে নাও।
Everyone dies.,সবাই মারা যায়।
Flowers bloom.,ফুল ফোটে।
Go over there.,ঐখানে যান।
Go over there.,ঐখানে যাও।
He looks pale.,তাকে ফ্যাকাসে দেখাচ্ছে।
He looks pale.,ওকে ফ্যাকাসে দেখাচ্ছে।
He looks pale.,ওনাকে ফ্যাকাসে দেখাচ্ছে।
He sells cars.,সে গাড়ি বিক্রি করে।
How old is he?,ওনার বয়স কত?
How old is he?,ওর বয়স কত?
How old is he?,তার বয়স কত?
"Hurry up, Tom.","তারাতারি, টম।"
"Hurry up, Tom.","তারাতারি কর, টম।"
I am coughing.,আমি কাশছি।
I am sneezing.,আমি হাঁচ্ছি।
I am sneezing.,আমি হাঁচি দিচ্ছি।
I can't do it.,আমি এটা করতে পারব না।
I did my work.,আমি আমার কাজ করলাম।
I do love you.,আমি তোমায় ভালোবাসি।
I exaggerated.,আমি বাড়িয়ে বললাম।
I feel hungry.,আমার খিদে পাচ্ছে।
I had a fever.,আমার জ্বর হয়েছিল।
I have a cold.,আমার ঠান্ডা লেগেছে।
I have asthma.,আমার হাঁপানি আছে।
I have cancer.,আমার ক্যান্সার হয়েছে।
I like apples.,আমি আপেল পছন্দ করি।
I like to eat.,আমি খেতে ভালোবাসি।
I like yellow.,আমি হলুদ রঙ পছন্দ করি।
I like yellow.,আমার হলুদ রঙ পছন্দ।
I love apples.,আমি আপেল ভালোবাসি।
I married Tom.,আমি টমকে শাদি করেছি।
I ran outside.,আমি বাইরে দৌড়ে গেলাম।
I want to cry.,আমি কাঁদতে চাই।
I wanted this.,আমি এটা চেয়েছিলাম।
I wanted this.,আমার এটা প্রয়োজন ছিলো।
I was injured.,আমি আহত হয়েছিলাম।
I was married.,আমি বিবাহিত ছিলাম।
I was outside.,আমি বাইরে ছিলাম।
I was stunned.,আমি অবাক হয়ে গেছিলাম।
I was talking.,আমি কথা বলছিলাম।
I went aboard.,আমি বাইরে গেছিলাম।
I went aboard.,আমি বিদেশে গেছিলাম।
I went inside.,আমি ভেতরে গেলাম।
I'll take him.,আমি ওকে নিয়ে যাবো।
I'll take him.,আমি তাকে নিয়ে যাবো।
